Player Name,Team Name,short_pass,short_rec,long_pass,long_rec,carry
M. Flekken,Brentford FC,126,0,39,0,0
Ederson,Manchester City,124,1,14,1,0
E. Martínez,Aston Villa,118,0,26,2,0
J. Pickford,Everton,102,1,52,0,0
J. van Hecke,Brighton,100,26,7,0,14
L. Colwill,Chelsea,97,20,8,0,12
Robert Sánchez,Chelsea,94,0,32,0,0
B. Verbruggen,Brighton,93,0,35,0,0
B. Leno,Fulham,89,0,44,0,0
D. Burn,Newcastle,87,12,7,0,4
W. Saliba,Arsenal,86,11,3,0,15
David Raya,Arsenal,86,0,38,0,0
G. Vicario,Tottenham,83,0,9,0,0
N. Collins,Brentford FC,81,41,3,1,11
A. Ramsdale,Southampton,75,0,35,0,0
I. Konaté,Liverpool,73,28,5,0,10
J. Andersen,Fulham,73,13,18,0,8
T. Harwood-Bellis,Southampton,69,13,11,0,6
D. O'Shea,Ipswich Town,69,5,7,0,6
A. Onana,Manchester U,68,2,34,0,0
F. Schär,Newcastle,67,21,6,0,2
Rúben Dias,Manchester City,66,14,7,0,2
Pau Torres,Aston Villa,64,24,1,0,10
M. Hermansen,Leicester,62,0,19,0,0
J. Bednarek,Southampton,61,10,1,0,6
Alisson,Liverpool,60,0,19,0,0
M. Guéhi,Crystal Palace,59,12,6,0,5
Kepa Arrizabalaga,Bournemouth,59,2,27,0,0
L. Dunk,Brighton,57,22,1,0,6
V. van Dijk,Liverpool,57,19,6,1,3
N. Pope,Newcastle,57,0,7,0,0
C. Romero,Tottenham,55,18,2,1,2
E. Pinnock,Brentford FC,55,12,5,0,1
Toti,Wolverhampton,54,30,11,2,9
C. Bassey,Fulham,53,56,7,0,6
I. Zabarnyi,Bournemouth,51,15,7,0,7
B. Davies,Tottenham,50,12,6,0,7
A. Robinson,Fulham,48,35,3,3,11
Dean Huijsen,Bournemouth,48,29,7,0,4
M. Lacroix,Crystal Palace,48,9,10,0,2
E. Agbadou,Wolverhampton,48,5,4,0,10
M. Kilman,West Ham,46,14,19,0,5
Marc Cucurella,Chelsea,45,50,2,1,4
N. Mazraoui,Manchester U,45,37,6,3,7
L. Martínez,Manchester U,45,22,4,0,12
José Sá,Wolverhampton,45,0,25,0,0
A. Aréola,West Ham,44,0,34,0,0
S. Ortega,Manchester City,44,0,7,0,0
E. Konsa,Aston Villa,43,39,7,0,5
J. Branthwaite,Everton,43,12,10,0,2
T. Partey,Arsenal,42,47,0,0,12
J. Todibo,West Ham,42,18,3,0,4
C. Coady,Leicester,42,9,5,0,4
W. Faes,Leicester,41,23,3,1,5
T. Adarabioyo,Chelsea,41,5,3,0,8
Murillo,Nottingham,40,8,7,0,4
M. de Ligt,Manchester U,40,8,5,0,1
J. Vestergaard,Leicester,40,6,0,0,4
A. Robertson,Liverpool,38,28,2,0,1
K. Mavropanos,West Ham,38,17,5,1,3
L. Hall,Newcastle,36,42,2,0,5
Y. Tielemans,Aston Villa,35,30,0,1,10
M. Senesi,Bournemouth,35,11,4,0,4
J. Gvardiol,Manchester City,34,65,0,0,5
